Nuovo,Categoria,Data_Aggiunta,Copertina,Titolo,Autore,Editore,Descrizione,Link
True,Bestseller,2026-03-29,https://covers2.booksamillion.com/covers/bam/1/63/590/276/1635902762_w.jpg,Thinking Gaza (Paperback),Franco Bifo Berardi,Semiotext(e),"A call to imagine a less deadly future, written in the shadow of genocide and ""ferocious optimism."" After Gaza, it is time to recognize that the attempt to humanize history has failed, and that there will not be a second try. It is time to recognize that the experiment called ""civilization"" has failed... The abyss is wide open and we cannot help but see it. We must gaze into the abyss, we must gauge the breadth and depth of the abyss. We must draw a map of the abyss, while precipitously falling into it. ""Thinking after Gaza"" means recognizing the collapse of universal reason and democracy, the humanistic values that were the famed--and fragile--promise of modernity. But it also means searching for ways to escape the grim future awaiting those born in this disenchanted century: this century that promises to be the last, in which thought has lost all political power and the survival instinct struggles to withstand the ferocity of techno-military extermination machines. To the generation born in the twilight of Western civilization, we owe this last act of thinking, so as to imagine the desertion of our barbaric present, along pathways that have yet to be illuminated. The latest essay by renowned Italian autonomist theorist Franco ""Bifo"" Berardi, Thinking After Gaza is a reflection on the multivalent consequences--political, philosophical, civilizational--of the current genocide in Gaza and the West Bank. Bearing sober witness to the conditions on the ground in the Occupied Territories, while tracking the ""ferocious optimism"" that has replaced Enlightenment ideals, this book is addressed not only to activists but also to pacifist philosophers, historians, and theologians.",https://www.booksamillion.com/p/Thinking-Gaza/Franco-Bifo-Berardi/9781635902761
True,Bestseller,2026-03-29,https://covers4.booksamillion.com/covers/bam/0/59/353/503/0593535030_w.jpg,Open Space (Hardcover),David Ariosto,Knopf Publishing Group,"The next space race has arrived--driven by rival nations, billionaire-funded ventures, and breakthrough technologies all vying to alter the balance of power on Earth and beyond. ""This isn't science fiction; it's the blueprint for the world we're about to inherit."" --Ali Velshi, NBC News senior economic and business correspondent and anchor for MS NOW In 2024, the Odysseus lander touched down near the south pole of the Moon. It was the first lunar landing by Americans in more than half a century--and the first ever by a private company. ""Odie"" embodied the ambitions of a new genera­tion of space entrepreneurs, as well as Washington's bid to challenge a rising Beijing. A gateway to interplanetary explo­ration and conquest, the Moon is now also open for busi­ness, and the race to level up technology, secure resources, and build off-world infrastructure has begun. First place isn't just a symbolic win, but a strategic path to influence and control. The United States, although turbo­charged by tech elites, risks being outpaced by China, which increasingly aligns commercial enterprise with national secu­rity. Not far behind are Russia, India, Japan, and the Euro­pean Union. In Open Space, journalist and space industry analyst David Ariosto gives us a front-row seat to the future. With unprecedented access, he recounts the split-second deci­sions in mission control and hold-your-breath moments on the launch pad. He travels from research labs orchestrating our planetary defense to an antimatter factory and the Mars Desert Research Station, where scientists imagine how an off-world colony might survive (it involves a diet of bugs). He probes inside the Chinese space sector itself, meeting with key figures and companies and traveling to a remote military station in South America. In this global odyssey, we meet the visionaries who are dreaming up the future and the engineers and physicists who are making science fiction a reality. After millennia of gazing up at the stars, humanity is now forging the tools to travel among them. Propulsive, awe-inspiring, and poignant, Open Space charts this epic journey to the final frontier and looks for our place within it.",https://www.booksamillion.com/p/Open-Space/David-Ariosto/9780593535035
True,Bestseller,2026-03-29,https://covers1.booksamillion.com/covers/bam/1/66/806/683/1668066831_w.jpg,Let's Get Cooking (Hardcover),Remi Cruz Parsons,S&s/Simon Element,"Remi Cruz Parsons, social media star behind the multi-platform Cooking with Remi, shares her first cookbook, filled with flavorful and accessible recipes for having fun in the kitchen no matter your skill level. Growing up in a Korean American household in Southern California, Remi's earliest memories were steeped in the flavors and creativity of her mother's cooking. Dishes like Korean short ribs and kimchi pancakes filled the family table, fostering a deep cultural appreciation that would later fuel her passion for food. When she began her own solo cooking adventure, trial and error evolved into a joyful exploration of recipes allowing Remi to become inventive in the kitchen. Since 2021, Remi has captured her journey on her multi-platform brand Cooking with Remi but now, she invites us to discover our own confidence in the kitchen with Let's Get Cooking . Packed with big flavor and approachable recipes, this cookbook features everything from grab-and-go breakfasts like Galaxy Brownie Overnight Oats, to crowd-pleasing staples such as Spicy Salmon and Avocado on Crispy Rice for birthdays, Bacon Cheese Dip with Fried Pita Bread for girl's nights, Garlic Parmesan Chicken Wings for game nights, and decadent sweets like World's Best Cakey Chocolate Chip Cookies, and much more With diverse recipes, vivid and mouth-watering photography, and Remi's infectious personality woven throughout, Let's Get Cooking will inspire novice and seasoned cooks to savor the joy of cooking and create connections through food.",https://www.booksamillion.com/p/Lets-Get-Cooking/Remi-Cruz-Parsons/9781668066836
True,Bestseller,2026-03-29,https://covers4.booksamillion.com/covers/bam/0/59/379/781/0593797817_w.jpg,The Stimulated Mind (Hardcover),Tommy Wood,Harmony,"Boost mental sharpness today and prevent cognitive decline tomorrow, including Alzheimer's disease, with science-backed strategies that will extend your brain's longevity beyond what you thought was possible. The most important part of the body, especially as we age, is our brain. So why aren't we taking the health of our brain as seriously as our heart and achy joints, particularly when people are struggling to focus every day, and dementia and Alzheimer's cases continue to rise? In The Stimulated Mind , Dr. Tommy Wood, a Formula 1 sports performance coach and neuroscientist specializing in lifelong brain health, dispels the myth that the brain is doomed to decline with age. Instead, by providing the right stimulus and building more ""headroom""--the amount of mental function we have available to us--we can help our brain to adapt and develop. Dr. Wood explains that a brain that improves with age is the result not of expensive pills, far-off discoveries, or strict lifestyle ""optimizations,"" but rather of actions within our control--diet, sleep, physical activity, social connection, and stress tolerance. Driven by how we use our brains on a daily basis, these modifiable factors come together in his groundbreaking ""3-S"" model that describes what a brain needs to thrive for a lifetime: Stimulation, Sleep, and Nutrient Supply. Packed with insights and actionable science drawn from Wood's research and experience as a physician, neuroscientist, and performance coach, The Stimulated Mind offers a path toward true cognitive longevity, ensuring that our brains perform at their best no matter what the coming years throw at us.",https://www.booksamillion.com/p/Stimulated-Mind/Tommy-Wood/9780593797815
True,Bestseller,2026-03-29,https://covers4.booksamillion.com/covers/bam/0/73/524/161/0735241619_w.jpg,Easy Does It (Hardcover),Christine Flynn,Penguin Books Canada,N/D,https://www.booksamillion.com/p/Easy-Does/Christine-Flynn/9780735241619
True,Bestseller,2026-03-29,https://covers3.booksamillion.com/covers/bam/1/83/783/361/1837833613_w.jpg,Peckish (Hardcover),Ed Smith,Quadrille Publishing,"A collection of winning chicken dinners, for any day of the week. Peckish is a compendium of winning ways to cook chicken: the necessary next book from, Ed Smith, the award-winning author of Good Eggs. In Peckish, Ed Smith showcases over 80 straightforward chicken recipes that will have you coming back for more. Arranged by the different cuts of chicken (drumstick, thighs, breast, wings, etc), as well the whole bird, recipes include midweek meals such as Sherry Cherry Tomato Chicken Traybake, Lemon and Sage Piccata and Poached Chicken and Asparagus Chopped Salad, as well as dishes like Buttermilk, Honey and Mustard Roast Chicken and Chicken and Chestnut Suet Pastry Pot Pie that are worthy of weekend gatherings. Interspersed with the recipes are suggestions of how you can change up the recipes to suit what you have available, as well as techniques for taking your chicken cookery to the next level. Perfect for anyone who is peckish for ideas, this book is bound to sate your chicken cravings.",https://www.booksamillion.com/p/Peckish/Ed-Smith/9781837833610
True,Bestseller,2026-03-29,https://covers1.booksamillion.com/covers/bam/1/40/199/860/1401998607_w.jpg,The Anatomy of Awakening (Hardcover),Sue Morter,Hay House LLC,"The author of The Energy Codes combines quantum science and cosmic principles with practical tools to awaken your high brain centers and access your capacity to embody divine love—right now, just as you are. In our rapidly changing world, we are challenged to maintain a sense of self and not be consumed by the turbulence. Where can we turn to find the stability we need? The Anatomy of Awakening reveals that all we need is already with and within us, profoundly hidden in plain sight. Dr. Sue Morter, best-selling author of The Energy Codes, identifies the invisible, sacred energetic structure that underpins our human physiology—a flowing throughline that results from the series of compressions required for Source to manifest into human form. She also introduces us to the vibrational frequency of a Greater Love, a force that allows us to sustainably transcend our primitive brain, bringing greater peace and healing. Using an approach keyed to the highest of 12 chakras, The Anatomy of Awakening opens a vibrational combination lock, enlivening us in entirely new ways and helping us become more masterful in our lives. We align with five transformative universal principles or quantum “codes” to reveal a greater Truth: • The Creator Code—Awakening as Source • The Actioning Code—Flowing with Grace • The Destiny Code—Embodying quantum Love • The Revelation Code—Illuminating the Ecstatic Self • The Blessing Code—Unifying the realms into one Divine Truth By awakening to these subtle energies and accepting that we are already the Divine, we free ourselves from the limitations of beliefs, learn to trust ourselves, and heal on every level. We activate a greater state of consciousness, bringing us closer to our highest selves. We transform.",https://www.booksamillion.com/p/Anatomy-Awakening/Sue-Morter/9781401998608
True,Bestseller,2026-03-29,https://covers3.booksamillion.com/covers/bam/0/06/341/477/0063414775_w.jpg,The Bosses of the Bronx (Hardcover),Mike Vaccaro,Harper,N/D,https://www.booksamillion.com/p/Bosses-Bronx/Mike-Vaccaro/9780063414778
True,Bestseller,2026-03-29,https://covers3.booksamillion.com/covers/bam/9/79/889/414/9798894142654_w.jpg,Safe Baby Handling Tips (Revised and Even Safer Edition) (Hardcover),David Sopp,Running Press Adult,"The perfect gift for expecting parents, the classic and hilarious Safe Baby Handling Tips is back with three times as many tips to keep you laughing while caring for your newborn. Worried about protecting your baby from the abundant harm of everyday living? Authors David and Kelly Sopp have you covered with Safe Baby Handling Tips , which offers laugh-out-loud guidance on baby care for anyone overwhelmed and befuddled--i.e., everyone--when it comes to caring for their new bundles of joy. With dozens of handling tips, readers will learn everything they need to keep their child alive and thriving beyond the first year. No, you can't stow them in the overhead compartment on flights. During playtime, babies prefer peek-a-boo to chess. And using a bath towel is far more safe and effective than putting your kiddo in the dryer. Beyond the safety tips, this handy guide also walks you through the many changes in lifestyle you'll face and keeps you on your toes with child-rearing quizzes. Why make everything up as you go along when this gifty, indispensable guide can show you how to be a little less incompetent as parents? You'll laugh, you'll cry (from sleep deprivation), and your baby will be safer for it.",https://www.booksamillion.com/p/Safe-Baby-Handling-Tips-Revised/David-Sopp/9798894142654
True,Bestseller,2026-03-29,https://covers1.booksamillion.com/covers/bam/1/66/820/735/1668207354_w.jpg,Extreme Collaboration (Hardcover),Sid Sijbrandij,Simon Element / Simon Acumen,"A new approach to collaboration, productivity, and growth from Sid Sijbrandij , the cofounder and executive chair of GitLab. If you want to go fast, go alone. But if you want to go far, go together. This familiar saying has inspired leaders for years. But what if it's wrong? What if achieving extraordinary results didn't mean choosing between speed and teamwork? In Extreme Collaboration , entrepreneur and thought leader Sid Sijbrandij shares the secret to quickly and efficiently achieving impactful outcomes: an open mindset. Drawing from his extensive experience building companies, Sijbrandij reveals how the same principles that drive open-source projects--collaboration, iteration, intentional transparency, efficiency, and a focus on results--can be applied to any organization or initiative. These same tactics have built GitLab into one of the world's largest all-remote companies, started new ventures, scaled nonprofits, and have even shaped his own personal cancer treatments. Through actionable strategies and compelling stories, leaders at all levels will learn how to build upon the best ideas, refine them with agility, and foster a culture of openness and trust. Challenging the belief that leaders must prioritize either synergy or speed, Extreme Collaboration empowers you to unleash the potential of your team and organization to achieve more than you thought possible. Whether you're a leader at a startup, nonprofit, or global corporation, Extreme Collaboration is the ultimate guide to driving bold results faster--together.",https://www.booksamillion.com/p/Extreme-Collaboration/Sid-Sijbrandij/9781668207352
True,Bestseller,2026-03-29,https://covers4.booksamillion.com/covers/bam/1/77/458/665/1774586657_w.jpg,The Coaching Habit (Hardcover),Michael Bungay Stanier,"Page Two Books, Inc.","The 10th anniversary hardcover edition of the million-copy bestseller that has revolutionized coaching--with brand new content and original illustrations. The Coaching Habit ""un-weirded"" coaching and made it practical and accessible to everyone. Ten years on, and that skill has never been more relevant. It's not just for coaches. It's for managers, leaders, parents... in fact anyone who works and lives with other people. Being more coach-like and staying curious longer with those around you helps you connect more deeply, focus on what matters, and bring out each other's best. Discover what more than a million readers have already learned about how to unlock peoples' potential by understanding the simple power of seven essential coaching questions. Its practical wisdom is grounded in neuroscience and behavioral economics research and enhanced with additional video support. In this special hardcover edition: A brand-new chapter on how to deepen the power of any coaching exchange by the way you show up. It teaches the four essential coaching paradoxes: be confident and humble, light and grounded, fierce and loving, and caring while not caring. Two ""secret chapters"" on how to create your own coaching questions, so you can expand and deepen your own coaching repertoire. Sprayed edges and delightful and ingenious illustrations which offer a fresh way to dive deeper into the lessons of the book and bring to life some of the more elusive insights.This book is practical and funny, clever, and easy to read. The Coaching Habit is essential for anyone looking to build their leadership skills, connect to the people who matter most, and bring out their best. The Coaching Habit will help you master one of the most powerful human skills: staying curious just a little longer.",https://www.booksamillion.com/p/Coaching-Habit/Michael-Bungay-Stanier/9781774586655
True,Bestseller,2026-03-29,https://covers3.booksamillion.com/covers/bam/0/84/787/657/0847876578_w.jpg,The Finest in the Field(r) (Hardcover),Ed Wheatley,Rizzoli International Publications,"The gloves themselves are the stars in this rich history of baseball's most memorable fielding moments, as curated from Rawlings's unmatched collection. Highlighting fifty gloves as touchstones of baseball's most storied players and plays, this book pairs a gallery of sumptuous glove photography with essays to place each glove into its historical context. The treasury also features archival photos of the players, period advertisements, and other memorabilia. Baseball's history comes to life with famous gloves and famous moments. They include Christy Mathewson's game used glove from the National Baseball Hall of Fame's collection illustrating the model worn during the greatest pitching performance in World Series history in 1905; Jackie Robinson's model glove worn during the years he broke baseball's segregation barrier in 1947; and the model like Mickey Mantle wore in 1956 while making the catch to preserve the only World Series perfect game. Other gloves are immediately connected to plays so famous they have their own monikers: Willie Mays's ""The Catch,"" Derek Jeter's ""The Flip,"" and Ken Griffey Jr.'s ""The Wall Banger."" Throughout the book--which features every Gold Glove Award winner--are quotes from players and vignettes calling out special moments. This book will be compelling to fans, players, historians, and collectors. Students of the game, from all generations, will now truly own a piece of baseball's rich history.",https://www.booksamillion.com/p/Finest-Fieldr/Ed-Wheatley/9780847876570
True,Bestseller,2026-03-29,https://covers3.booksamillion.com/covers/bam/1/41/976/378/1419763784_w.jpg,We Will Be Jaguars (Reese's Book Club Pick) (Paperback),Nemonte Nenquimo,Abrams Press,"A Reese's Book Club selection in hardcover, this critically acclaimed memoir from a fearless activist tells the story of her Indigenous childhood, a clash of cultures, and the fight to save the Amazon rainforest and protect her people Born into the Waorani tribe of Ecuador's Amazon rainforest--one of the last to be contacted by missionaries in the 1950s--Nemonte Nenquimo had a singular upbringing. She was taught about plant medicines, foraging, oral storytelling, and shamanism by her elders. She played barefoot in the forest and didn't walk on pavement or see a car until she was a teenager and left to study with an evangelical missionary group in the city. But after Nenquimo's ancestors began appearing in her dreams, pleading with her to return and embrace her own culture, she listened. Nenquimo returned to the forest and traditional ways of life and became one of the most forceful voices in climate change activism. She spearheaded an alliance of indigenous nations across the Upper Amazon and led her people to a landmark victory against Big Oil, protecting over a half million acres of primary rainforest. We Will Not Be Saved is an astonishing memoir by an equally astonishing woman. Nenquimo digs into generations of oral history, uprooting centuries of conquest, and hacking away at racist notions of Indigenous peoples. Ultimately, she reveals a life story as rich, harsh, and vital as the Amazon rainforest herself.",https://www.booksamillion.com/p/We-Will-Be-Jaguars-Reeses/Nemonte-Nenquimo/9781419763786
True,Bestseller,2026-03-29,https://covers4.booksamillion.com/covers/bam/1/83/783/614/1837836140_w.jpg,Tilly and the Buttons (Paperback),Tilly Walnes,Quadrille Publishing,"A must-have guide for budding sewists wanting to make clothes with confidence. Learn to Sew provides all the sewing know-how you need to create the garments of your dreams. Perfect for beginner and developing stitchers, award-winning sewing author and pattern designer Tilly Walnes of Tilly and the Buttons demystifies the art of making clothes with refreshingly clear instructions, step-by-step photos, and her down-to-earth approach guiding you every step of the way. Discover how to start using a sewing machine, choose the right fabric, work with sewing patterns, and construct clothing from scratch as Learn to Sew guides you through all the essential techniques, from structure to shaping, fastenings to finishes. Learn to Sew will be your ultimate handbook to come back to again and again, whatever you choose to make.",https://www.booksamillion.com/p/Tilly-Buttons/Tilly-Walnes/9781837836147
True,Bestseller,2026-03-29,https://covers2.booksamillion.com/covers/bam/1/33/500/133/1335001336_w.jpg,The Beauty of Being Weird (Hardcover),Sergi Rufi,Hanover Square Press,"A rebellious and provocative take on what it means to be different, offering a way forward for anyone who wants to blaze their own path, from psychologist Sergi Rufi. Do you feel like an outsider? Like a weirdo who doesn't fit in with what society considers ""normal""? Have people ever told you you're too sensitive or too clever? If so, this book is for you. Psychologist Sergi Rufi provides you with tools to start living your life authentically, without blaming or shaming. Through a poetic and scientific reappraisal of society's obsession with fitting in, Rufi presents a real reflection on what it means to be human, the root causes of suffering, and, above all, how to avoid the unhappiness of the mainstream. He invites us on a transformative journey that goes beyond good and evil, beyond blame and shame, where unabashed weirdness becomes a breeding ground for authenticity, justice, health, and beauty. Get the life you've always wanted to live with this direct, practical guide, for readers of The Courage to Be Disliked and Don ' t Believe Everything You Think .",https://www.booksamillion.com/p/Beauty-Being-Weird/Sergi-Rufi/9781335001337
True,Bestseller,2026-03-29,https://covers2.booksamillion.com/covers/bam/1/56/792/759/1567927599_w.jpg,Death in the Strike Zone (Hardcover),Thomas W. Gilbert,David R. Godine Publisher,"He threw the first fastball. The first curveball. He was baseball's first star--and its first tragedy. In Death in the Strike Zone , acclaimed historian Thomas W. Gilbert uncovers the forgotten life of James Creighton, the first American ballplayer to become a national sensation. On the eve of the Civil War, Creighton invented something utterly new in baseball - modern pitching. Creighton was so dominant, so mesmerizing, that the game had to rewrite the rulebook to catch up with him. He is the reason we have a strike zone. Then, in one fateful game he collapsed--and four days later, he was dead at the age of twenty-one. Was it a freak injury or was baseball somehow to blame? Was there a cover-up? Why has Creighton been denied the credit he deserves? Death in the Strike Zone is part biography, part detective story, and part time machine. With vivid storytelling and groundbreaking research, Gilbert revives a vanished era of barehanded fielders, heroes and gamblers, and the strange, thrilling beginnings of America's pastime and sports stardom itself. Death in the Strike Zone is a remarkable journey into the past that will keep you on the edge of your seat and profoundly change how you see the game of baseball.",https://www.booksamillion.com/p/Death-Strike-Zone/Thomas-W-Gilbert/9781567927597
True,Bestseller,2026-03-29,https://covers4.booksamillion.com/covers/bam/1/45/496/895/1454968958_w.jpg,Large Print Cryptograms #3 (Large Print Paperback),Cryptograms Org,Puzzlewright Press,"These 500 clever cryptograms are easy to read and fun to solve Cryptograms should challenge your brain--not your eyesight Fortunately, these 500 large-print puzzles, which come straight from the world's largest cryptogram website, Cryptograms.org, won't leave you struggling to read the fine print. That means everyone can enjoy solving memorable quotes from noteworthy people past and present, such as Mark Twain and John F. Kennedy.",https://www.booksamillion.com/p/Large-Print-Cryptograms/Cryptograms-Org/9781454968955
True,Bestseller,2026-03-29,https://covers1.booksamillion.com/covers/bam/1/45/496/894/145496894X_w.jpg,Large Print Cryptograms (Large Print Paperback),Trip Payne,Puzzlewright Press,"Endorsed by the National Association for Visually Handicapped (NAVH), this compendium of more than 700 cryptograms is accessible to puzzlers who love to flex their mental muscles and challenge their code-cracking abilities. Decode funny quips and clever comments by favorite celebrities and historical figures. Find out what Julia Roberts has to say about nude scenes; how Harry Truman distinguished between recession and depression; and get some marital advice from Shirley Maclaine. By untangling these mixed-up messages, you'll uncover the wise, witty, and wonderful things said by a wide array of personalities, including Albert Einstein, Johnny Carson, Henri Matisse, and Marilyn Monroe.",https://www.booksamillion.com/p/Large-Print-Cryptograms/Trip-Payne/9781454968948
True,Bestseller,2026-03-29,https://covers1.booksamillion.com/covers/bam/1/45/496/892/1454968923_w.jpg,Absolutely Nasty(r) Sudoku Level 3 (Paperback),Frank Longo,Puzzlewright Press,"The difficulty level soars, as even more tricks get added to the mix: X-Wing; Swordfish; XY-Wing; XYZ-Wing; and the Gordonian Rectangle.",https://www.booksamillion.com/p/Absolutely-Nastyr-Sudoku-Level/Frank-Longo/9781454968924
True,Bestseller,2026-03-29,https://covers2.booksamillion.com/covers/bam/1/45/496/891/1454968915_w.jpg,Absolutely Nasty(r) Sudoku Level 2 (Paperback),Frank Longo,Puzzlewright Press,Even more interaction--this time used in combination with other procedures...and a lot more heavily than in the first book.,https://www.booksamillion.com/p/Absolutely-Nastyr-Sudoku-Level/Frank-Longo/9781454968917
True,Bestseller,2026-03-29,https://covers3.booksamillion.com/covers/bam/1/64/177/499/1641774991_w.jpg,When Race Trumps Merit (Paperback),Heather Mac Donald,Encounter Books,"Does your workplace have too few black people in top jobs? It's racist. Does the advanced math and science high school in your city have too many Asians? It's racist. Does your local museum employ too many white women? It's racist, too. After the Black Lives Matter protests of 2020, prestigious American institutions, from the medical profession to the fine arts, pleaded guilty to ""systemic racism."" How else explain why blacks are overrepresented in prisons and underrepresented in C-suites and faculty lounges, their leaders asked? The official answer for those disparities is ""disparate impact,"" a once obscure legal theory that is now transforming our world. Any traditional standard of behavior or achievement that impedes exact racial proportionality in any enterprise is now presumed racist. Medical school admissions tests, expectations of scientific accomplishment in the award of research grants, the enforcement of the criminal law--all are under assault, because they have a ""disparate impact"" on underrepresented minorities. When Race Trumps Merit provides an alternative explanation for those racial disparities. It is large academic skills gaps that cause the lack of proportional representation in our most meritocratic organizations and large differences in criminal offending that account for the racially disproportionate prison population. The administration of Donald Trump has taken aim at disparate impact doctrine, following a roadmap laid out by When Race Trumps Merit . The book's analysis remains as urgent as ever. As long as alleged racism remains the only allowable explanation for racial differences, we will continue tearing down excellence and putting lives, as well as civilizational achievement, at risk.",https://www.booksamillion.com/p/Race-Trumps-Merit/Heather-Mac-Donald/9781641774994
True,Bestseller,2026-03-29,https://covers4.booksamillion.com/covers/bam/1/66/822/251/1668222515_w.jpg,I Know a Thing or Two about a Thing or Two (Hardcover),Dorinda Medley,Gallery Books,"Beloved Real Housewives of New York City star Dorinda Medley delivers her no-nonsense, laugh-out-loud, and deeply inspiring guide to turning life's challenges into confidence, resilience, and joy--reminding us that you don't need it all and you don't need to be perfect to Make It Nice. Dorinda Medley knows that life isn't one straight line. It's a series of adjustments. After sixty years, she has seen it all: love and heartbreak, success and setback, reinvention and resilience. She has worn many hats as a businesswoman, mother, wife, widow, television personality, author, radio host, DJ, and advice giver. But of all the things she's accomplished, her greatest feat is becoming confident in learning how to do things completely on her own. These days, fear is practically baked into our culture--especially for women. We're told to be small and palatable, to stay in our place, to smile through disappointment, to accept a seat at the table but to not expect the whole menu, and this messaging keeps us in survival mode all while trying to look presentable. But we can choose another way to live, using confidence to move forward and fear as a tool of encouragement to pivot when life's challenges knock us down. In I Know a Thing or Two About a Thing or Two , Dorinda rolls up her sleeves and gets to work, giving you advice on everything from how to entertain without stress (even if your life is turned upside down) to the basics of managing money, sharing her favorite rituals for feeling grounded, and tricks to get it done no matter the budget and time. It's real talk, real tools, and a whole lot of heart. It's time to get confident and take care of yourself. You don't have to have it all figured out. You just have to get started.",https://www.booksamillion.com/p/Know-Thing-Two-about/Dorinda-Medley/9781668222515
True,Bestseller,2026-03-29,https://covers3.booksamillion.com/covers/bam/9/79/821/717/9798217177530_w.jpg,The Algorithm (Hardcover),Jon McNeill,Portfolio,"From a former President of Tesla comes The Algorithm --the first book written by any of Elon Musk's direct reports--a transformative guide for leaders, entrepreneurs, and innovators who want to emulate the paradigm-shattering approach Musk used to launch Tesla and SpaceX to meteoric success. Jon McNeill had already founded and sold six startups when Sheryl Sandberg introduced him to Elon Musk, who was looking for help at Tesla. McNeill was steeped in the lean principles that had made Toyota a global powerhouse--principles focused on achieving efficiency and optimization by incrementally improving existing systems and processes. What he learned from Elon at Tesla was its antithesis, an approach that required radical rethinking to explode the status quo, attack complexity, and set seemingly unrealistic goals. Elon called this five-step framework ""The Algorithm."" Question every requirement. Delete every possible step in the process. Simplify and optimize. Accelerate cycle time. Automate. In this book, McNeill details this tremendously powerful set of tools, which brought Tesla from a production crisis that threatened to derail it to a period of hypergrowth. During his tenure, revenue boomed from $2B to $20B in just 30 months. Since his departure from Tesla, McNeill has used The Algorithm in every enterprise he has worked with to supercharge speed, efficiency, innovation, and growth. Featuring case studies from Tesla and SpaceX, as well as from Lululemon, GM, and companies of various sizes across industries, he reveals how any business can do the same and achieve the unimaginable.",https://www.booksamillion.com/p/Algorithm/Jon-McNeill/9798217177530
True,Bestseller,2026-03-29,https://covers1.booksamillion.com/covers/bam/8/85/442/177/8854421774_w.jpg,Beautiful Islands (Hardcover),Nicola Balossi Restelli,White Star Publishers,"A visual escape to the world's most captivating islands -- where beauty, mystery, and imagination meet. This idyllic coffee table book presents a curated selection of the world's most beautiful islands. From the lush landscapes of Kaua'i to the crystal blue waters of Bora Bora, each chapter highlights a distinct place shaped by nature, geography, and culture. With stunning photography and factual text, this book invites readers to explore islands as both extraordinary destinations and powerful symbols of beauty, isolation, and escape. Designed for daydreaming and planning your next vacation, it offers a refined visual journey across some of the most breathtaking islands on Earth A journey across the world's islands: Featuring iconic and remote islands from Hawaii and the Mediterranean to Northern Europe, Asia, and the South Pacific Stunning photography: Breathtaking, cinematic visuals that capture the beauty, atmosphere, and character of each island Fascinating facts and insights: Informative text provides context, history, and fun details for every destination A celebration of the natural world: Prepare to be awed by the mystery and beauty of the landscapes, seascapes, flora, and unique ecosystems Exquisitely crafted cover: Debossing, UV printing, and imitation leather details give the book a luxurious quality that makes it a standout gift Part of the Beautiful World series: A curated collection celebrating the most beautiful places on Earth for travel enthusiasts",https://www.booksamillion.com/p/Beautiful-Islands/Nicola-Balossi-Restelli/9788854421776
True,Bestseller,2026-03-29,https://covers2.booksamillion.com/covers/bam/1/49/308/882/1493088823_w.jpg,The Complete Guide to the National Park Lodges (Paperback),David L. Scott,Globe Pequot Publishing,"The only guide of its kind! The Complete Guide to the National Park Lodges is the only definitive guide of its kind--covering every lodge in America's National Parks and Monuments, from luxurious inns to rustic cabins. The authors, National Park experts, tell readers how to leave behind the hassles and headaches and make trip planning painless. Having visited nearly every national park area and lodge in the country, they share their sage advice on how to choose a lodge that will best suit an individual's taste and needs. Now in a new, updated package with over 175 full-color photographs. Packed with firsthand information about each property. Includes room rates, facility information, detailed maps, and so much more!",https://www.booksamillion.com/p/Complete-Guide-National-Park-Lodges/David-L-Scott/9781493088829
